gruppe;Therapieart laut UL;Substanzbezeichnung;gültig bis;atc_code;ATC-Code gültig bis (WHO-ATC alterations);Änderungsvermerk
;HO;Abarelix;;L02BX01;;
;IM;Abatacept;;L04AA24;;
;ZS;Abemaciclib;;L01XE50;31.12.2020;
;ZS;Abemaciclib;;L01EF03;;
;IM;Abetimus;;L04AA22;;
Zweitgenerationenhormontherapie;HO;Abirateron;;L02BX03;;
;ZS;Acalabrutinib;;L01XE51;31.12.2020;
;ZS;Acalabrutinib;;L01EL02;;
;CH;Aclarubicin;;L01DB04;;
;ZS;Adagrasib ;;L01XX77;;Aktualisierung 2024
;IM;Adalimumab;;L04AA17;31.12.2007;
;IM;Adalimumab;;L04AB04;;
;SO;Aderlass;31.12.2023;fehlt;;Prozedur (kein Wirkstoff) siehe Liste der Protokolle
;ZS;Afatinib;;L01XE13;31.12.2020;
;ZS;Afatinib;;L01EB03;;
;IM;Afelimomab;;L04AA16;31.12.2007;
;IM;Afelimomab;;L04AB03;;
;ZS;Aflibercept;;L01XX44;;
;IM;Aldesleukin;;L03AC01;;
;ZS;Alectinib;;L01XE36;31.12.2020;
;ZS;Alectinib;;L01ED03;;
;IM;Alefacept;;L04AA15;;
;IM;Alemtuzumab;;L04AA34;31.12.2023;
;IM;Alemtuzumab;;L04AG06;;
;SO;Alendronsäure;;M05BA04;;
;ZS;Alisertib;;fehlt;;
;SO;Alitretinoin;;L01XX22;31.12.2020;
;SO;Alitretinoin;;D11AX19;31.12.2011;
;SO;Alitretinoin;;L01XF02;;
;SZ;Allogene Stammzellen;;;;Korrektur Februar 2024 (ATC-Code gelöscht)
;IM;Alnuctanab;;fehlt;;Aktualisierung 2024
;ZS;Alpelisib;;L01XX65;31.12.2020;
;ZS;Alpelisib;;L01EM03;;
;CH;Altretamin;;L01XX03;;
;IM;Amatuximab;;fehlt;;Aktualisierung 2024
;SO;Amilomer;;V03AM01;;
;HO;Aminoglutethimid;;L02BG01;;
;SO;Aminolevulinsäure;;L01XD04;;
;IM;Amivantamab;;L01FX18;;Aktualisierung 31.12.2023
;CH;Amonafid;;fehlt;;
;CH;Amrubicin;;L01DB10;;
;CH;Amsacrin;;L01XX01;;
;CH;Anagrelid;;B01AC14;31.12.2005;
;CH;Anagrelid;;L01XX35;;
;IM;Anakinra;;L04AA14;31.12.2007;
;IM;Anakinra;;L04AC03;;
;HO;Anastrozol;;L02BG03;;
;IM;Antithymozytäres Immunglobulin;;L04AA04;;Korrektur 2025: Schreibweise angepasst analog ATC ohne Zusatz (Kaninchen)
ARPI;HO;Apalutamid;;L02BB05;;
;SO;Arfolitixorin;;fehlt;;Aktualisierung 31.12.2023
;CH;Arsentrioxid;;L01XX27;;
;SO;Artesunat;;P01BE03;;
;ZS;Asciminib;;L01EA06;;
;CH;Asparaginase;;L01XX02;;
;ZS;Asunercept;;fehlt;;Aktualisierung 2024
Checkpointinhibitor;IM;Atezolizumab;;L01FF05;;
;SZ;Autologe Stammzellen;;fehlt;;Korrektur Februar 2024 (ATC-Code gelöscht)
;ZS;Avapritinib;;L01EX18;;
;IM;Avelumab;;L01FF04;;
;IM;Axicabtagen Ciloleucel;;L01XX70;31.12.2022;
;IM;Axicabtagen Ciloleucel;;L01XL03;;
;ZS;Axitinib;;L01XE17;31.12.2020;
;ZS;Axitinib;;L01EK01;;
;CH;Azacitidin;;L01BC07;;
;IM;Azathioprin;;L04AX01;;
;IM;Balixafortide;;fehlt;;Aktualisierung 2024
;IM;Basiliximab;;L04AA09;31.12.2007;
;IM;Basiliximab;;L04AC02;;
;IM;Bavituximab;;fehlt;;Aktualisierung 31.12.2023
;IM;BCG;;L03AX03;;
;IM;Belantamab mafodotin;;L01FX15;;
;IM;Belatacept;;L04AA28;;
;IM;Belimumab;;L04AA26;31.12.2023;
;IM;Belimumab;;L04AG04;;
;ZS;Belinostat;;L01XX49;31.12.2020;
;ZS;Belinostat;;L01XH04;;
;ZS;Belvarafenib;;fehlt;;Aktualisierung 31.12.2023
;ZS;Belzutifan;;L01XX74;;Aktualisierung 31.12.2023
;IM;Bemarituzumab;;fehlt;;
;ZS;Bemcentinib;;fehlt;;
;SO;Bempegaldesleukin;;fehlt;;Aktualisierung 2024
;CH;Bendamustin;;L01AA09;;
;IM;Bermekimab;;L01FX11;;Aktualisierung 2025
;IM;Bevacizumab;;L01FG01;;
;SO;Bexaroten;;L01XX25;31.12.2020;
;SO;Bexaroten;;L01XF03;;
ADT;HO;Bicalutamid;;L02BB03;;
;ZS;Binimetinib;;L01XE41;31.12.2020;
;ZS;Binimetinib;;L01EE03;;
;CH;Bleomycin;;L01DC01;;
;ZS;Bleximenib;;fehlt;;Aktualisierung 2025
;IM;Blinatumomab;;L01FX07;;
;ZS;Bortezomib;;L01XX32;31.12.2020;
