ags,plz,ort,kreis,bundesland,lat,lon,lat_kreis,lon_kreis,deprecated,einwohner,prim_plz
01001000,24937,Flensburg,,Schleswig-Holstein,54.783302,9.433327,54.783302,9.433327,0,95015,1
01001000,24939,Flensburg,,Schleswig-Holstein,54.783302,9.433327,54.783302,9.433327,0,95015,1
01001000,24941,Flensburg,,Schleswig-Holstein,54.783302,9.433327,54.783302,9.433327,0,95015,1
01001000,24943,Flensburg,,Schleswig-Holstein,54.783302,9.433327,54.783302,9.433327,0,95015,0
01001000,24944,Flensburg,,Schleswig-Holstein,54.783302,9.433327,54.783302,9.433327,0,95015,1
01002000,24103,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24105,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24106,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24107,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,0
01002000,24109,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,0
01002000,24111,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24113,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,0
01002000,24114,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24116,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24118,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24143,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24145,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24146,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24147,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24148,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24149,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01002000,24159,Kiel,,Schleswig-Holstein,54.32271,10.135555,54.32271,10.135555,0,249132,1
01003000,23552,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23554,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23556,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23558,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23560,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23562,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23564,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23566,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23568,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23569,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01003000,23570,Lübeck,,Schleswig-Holstein,53.866444,10.684738,53.866444,10.684738,0,215958,1
01004000,24534,Neumünster,,Schleswig-Holstein,54.075745,9.981538,54.075745,9.981538,0,79625,1
